symbol,companyName,open,close,high,low,latestPrice,latestVolume,previousClose,change,changePercent,avgTotalVolume,marketCap,week52High,week52Low,ytdChange,primaryExchange,previousVolume,volume,peRatio,sector,esg_category
LTS,"Ladenburg Thalmann Financial Services, Inc.",,,3.49,3.49,3.49,0,3.49,0,0,698421,520606790,4.02,1.81,0,NYSE American,756345,0,-42.05,Finance,2
SVM,"Silvercorp Metals, Inc.",3.91,4.15,4.19,3.85,4.15,2589825,3.97,0.18,0.04534,2774283,721626900,5.93,1.5,-0.22656,NYSE American,2818759,0,20.72,Non-Energy Minerals,3
EQX,Equinox Gold Corp.,8.47,9.1,9.1,8.44,9.1,1827995,8.65,0.45,0.05202,2349270,2049101600,10.3,3.65,0.20392,NYSE American,1364331,0,-791.3,Non-Energy Minerals,2
REPX,"Riley Exploration Permian, Inc.",,,,,,0,,,,0,,0,0,0,NYSE American,,,,Energy Minerals,3
TGU,Structured Prods Corp Tiers 2003,,,,,,0,,,,0,,0,0,0,NYSE American,,,,Finance,2
LRET,ETRACS Monthly Pay 2xLeveraged MSCI REIT US INDEX ETN,,,9.75,8.4,8.4,0,8.4,0,0,2825,1176000,31.49,5.59,0,NYSE Arca,1392,0,,Finance,1
VGPRD,"Vega Biofuels, Inc.",,,,,0.3,0,0.3,0,0,3128,306520,1.42,0.0051,0.212121,,,,0,Process Industries,4
CHKE,"Cherokee, Inc.",0.5259,0.5188,0.6,0.504,0.5188,35441,0.5009,0.0179,0.03574,31868,8272785,1.25,0.38,0.033432,,,,-0.62,Consumer Non-Durables,1
CRCM,"Care.com, Inc.",14.2,14.2,,,14.2,488489,14.14,0.06,0.00424,475587,461173400,25.81,,-0.27026,,,,11.42,Commercial Services,3
CEPPU,Crestwood Equity Partners LP,,9.31,,,9.31,0,9.31,0,0,62827,672906216,10,8.85,0.034444,,,,,Industrial Services,1
NTEBF,NetEnt AB,,3.15,,,3.15,0,3.15,0,0,257,756412650,4.85,3.06,-0.350515,,,,12.27,Technology Services,1
HRS,Harris Corp.,190.43,189.13,,,189.13,4784908,189.46,-0.33,-0.00174,1204350,22341170380,200.77,,0.418795,,,,24.92,Electronic Technology,3
TWTR,"Twitter, Inc.",36.61,36.29,36.68,35.81,36.29,12040595,36.65,-0.36,-0.00982,12251762,27893618990,46.92,26.19,0.262308,,,,20.6,Commercial Services,1
BAMKL,Bank of America Corp.,,24.97,,,24.97,0,24.95,0.02,0.0008,3254498,237419754000,25.25,24.89,0.0008,,,,,Finance,3
TI,Telecom Italia SpA,5.64,5.63,,,5.63,83483,5.61,0.02,0.00357,354927,,7.75,,0.010726,,,,-7.15,Communications,2
AQLFF,AqualisBraemar ASA,,,,,,0,,,,,,0,0,0,,,,,Health Technology,2
